Building_Age,JS_Price,JS_BA,Population,UR,LC_index,CA_index,TC_index,SDT_index,HSP_index,Sell_Price,Crime_Rates,IR,Region_Name,Building_Use,YearMonth,Shortest_Distance_to_Subway,Shortest_Distance_to_School,Shortest_Distance_to_Univ,Shortest_Distance_to_Park
14,22500,84.7,433809,4.1,90.4,95.3,91.0,107.6345984,91.7,39900.0,0.967619601,1.25,강동구,아파트,201703,218.54666154296567,342.32063735308884,2080.0479820549817,159.23276653004802
0,16000,17.45,662019,3.4,98.0,101.1,99.1,112.0392157,131.7,18000.0,0.834577094,1.25,송파구,오피스텔,201912,365.16708070279765,428.39636802470056,2078.432084692811,1250.7663452932102
30,42000,108.47,553927,2.7,78.0,84.3,81.7,120.4399633,74.7,135000.0,1.537764072418213,2.5,강남구,아파트,201310,698.1272205001385,334.80778440668405,1514.2227900245393,918.048403467048
4,48000,84.95,674828,2.9,72.9,80.0,77.1,114.36682891845705,79.4,91646.15,1.1456516981124878,3.25,송파구,아파트,201110,536.9477001206975,24.176463210273766,3817.5182980863883,838.6331507654984
0,70000,84.99,302243,2.1,109.0,109.0,110.3,87.67781622,167.9,108000.0,0.7258259057998657,2.5,서대문구,아파트,202208,1173.8900387602996,335.94981640657727,1165.4164659514413,701.4771370766003
31,18000,59.28,532511,4.0,95.6,99.5,97.7,76.35294118,119.6,39572.73,0.772934452,1.75,노원구,아파트,201906,1224.549131771966,142.91349402278357,2041.4454637662268,2090.7728371075605
20,12000,49.94,339529,3.0,72.8,79.8,76.8,113.79193115234376,80.2,19350.0,1.463912010192871,3.25,강북구,아파트,201108,937.3073034907333,161.48439424735358,996.1744293503384,583.4746918262914
5,33000,52.56,312179,3.0,107.8,107.6,107.7,90.60938101,181.3,41000.0,0.8461557626724243,1.25,도봉구,연립다세대,202203,2347.789873683661,619.0033647557962,1081.2986339607035,1004.7784460214552
32,21500,49.85,512274,5.7,103.8,101.3,101.4,131.173063,166.4,52650.0,0.665118284,0.5,노원구,아파트,202101,583.040752178185,171.51538018742318,553.0232638656515,2439.5747333070467
28,36000,129.66,229269,3.1,96.3,100.2,98.5,95.90196078,125.2,46666.67,1.233023588,1.5,금천구,아파트,201909,2918.943982882125,188.88962347214348,5143.969265706955,1774.2254731556561
7,47000,114.66,476894,4.6,93.6,97.8,93.9,99.543379,104.8,47106.25,0.736159585,1.5,은평구,아파트,201802,1515.4422425618004,151.35086371927508,701.046628225073,548.8342515267026
12,35000,85.0,580630,4.5,82.5,88.1,85.4,116.8157424,78.6,47783.33,0.937566624,2.0,강서구,아파트,201502,747.8423309499368,397.0331787745526,711.907718510072,332.22999070341626
3,44500,59.35,425410,4.7,95.0,98.7,96.9,69.88235294,117.1,102666.67,0.911464838,1.75,강동구,아파트,201902,874.7530594727165,237.36726190242518,3943.0189670709974,939.9063060515964
11,44000,108.15,381707,3.9,75.7,82.4,79.9,110.3919781,72.7,41125.0,1.1161750555038452,2.75,영등포구,아파트,201302,715.691400807051,250.75267091808,2557.8153290927144,1140.9181161595232
5,50300,84.8,662392,3.4,75.4,82.3,79.7,107.7484047,72.4,82405.88,1.1766917705535889,2.75,송파구,아파트,201301,629.1759240489441,105.57846546637265,3314.8783816090126,616.2511916220282
8,30500,84.79,420803,2.9,72.9,80.0,77.1,113.00987243652344,79.4,51150.0,0.8367490172386169,3.25,구로구,아파트,201110,744.9895786961087,94.30345551214157,1367.6676874789343,1052.4747095391929
0,27200,37.87,450971,4.5,98.5,98.3,99.5,104.1001451,135.1,27200.0,0.702519327,0.5,양천구,연립다세대,202005,1411.8971236334555,302.8435648079532,2962.7033161453264,781.3432792249797
13,195000,138.32,531575,3.4,98.0,101.1,99.1,112.0392157,131.7,241911.76,1.327495552,1.25,강남구,아파트,201912,720.6075521068519,200.11868397846462,3057.379608364356,605.1100609350865
1,32000,62.96,325050,3.1,100.4,99.3,100.2,120.7096307,151.9,36300.0,0.665626021,0.5,도봉구,연립다세대,202008,1347.3876050589643,162.44859146625328,3576.1294962901816,1518.6942803729432
11,13000,39.36,300991,3.7,93.4,97.6,93.6,100.0761035,103.0,26200.0,0.776394081,1.5,성동구,오피스텔,201801,310.87561703444305,371.2549349739701,909.8178836171744,844.1829677836824
33,30000,56.9,439368,3.3,88.3,93.1,89.9,115.0485437,91.6,96000.0,1.105039681,1.25,서초구,아파트,201610,314.3574560091495,84.5263513599401,837.9165018575376,2193.790219253401
12,15000,59.4,313144,3.0,72.9,80.1,77.6,113.00987243652344,77.8,26350.0,0.8338344097137451,3.25,서대문구,아파트,201112,1460.7138262546614,211.30767815909064,638.3827764651828,706.0904737301385
15,43000,84.77,342485,4.1,93.8,98.1,94.4,89.53576865,107.4,61300.0,1.010051106,1.5,동대문구,아파트,201804,842.9743339988805,97.69866506990905,1628.6976479364125,1290.8967548879532
16,24000,30.36,144865,3.4,102.6,101.3,100.8,128.8196959,158.1,30250.0,1.950992478,0.5,종로구,오피스텔,202011,124.96052488820695,543.6933316674898,701.2270000306861,232.72459751738486
24,12500,58.46,594568,3.5,74.3,80.8,78.0,114.25670623779295,76.2,14500.0,1.1743762493133545,3.25,노원구,아파트,201204,643.1852766499123,205.23399302563652,1817.6586858994165,2405.5666783328084
22,28000,32.76,308122,2.5582470893859863,106.83295440673828,103.88814544677734,103.98019409179688,118.44253540039062,184.4481506347656,71950.0,1.3574049472808838,3.5,서대문구,아파트,202308,874.8002217579053,111.68385776995453,1025.1414173948112,697.0779453835263
31,12000,58.08,553927,3.9,75.7,82.4,79.9,110.3919781,72.7,71450.0,0.9089457392692566,2.75,강남구,아파트,201302,1670.7818951700706,744.7669909094978,4211.027316467739,1060.4683480310184
32,50000,84.93,425539,4.1,93.8,98.1,94.4,89.53576865,107.4,84500.0,0.907343953,1.5,강동구,아파트,201804,253.35609744137838,134.79989556409106,3958.2456798197923,426.96753258409524
31,15000,44.33,532511,4.0,95.6,99.3,97.5,73.64705882,117.2,34770.0,0.772934452,1.75,노원구,아파트,201905,954.0952346609665,162.99277624880975,1942.7393495266545,2422.4318323859306
16,34000,59.58,304796,3.7,93.4,97.6,93.6,100.0761035,103.0,51233.33,0.867277455,1.5,서대문구,아파트,201801,852.9455585554706,585.4092846973155,1003.4216844660482,1015.5676490711792
23,41000,59.98,435952,3.3,92.4,96.9,92.6,102.4271845,98.3,67000.0,1.057025018,1.25,서초구,아파트,201709,1068.3904566692154,125.65263644936076,2238.483199406411,593.7867332314349
9,21000,59.81,570666,3.1,80.8,86.6,84.5,114.4583706,77.1,35350.0,0.893936142,2.25,강서구,아파트,201409,590.4797835692294,259.9531297627775,2788.291051549924,1343.4481082558336
46,44000,72.51,419614,4.2,98.5,100.1,99.4,108.3393764,135.7,195500.0,1.072431676,0.75,서초구,아파트,202003,1023.7884911645407,140.4727707370313,1240.8779977977636,1554.363258726346
29,20050,39.6,567898,2.9,108.9,108.5,109.7,91.34948097,173.2,59000.0,0.783458948135376,2.25,강서구,아파트,202207,1972.230346655159,178.54805215140465,1386.375083928123,245.50912582664023
29,45000,125.08,658553,3.4,80.1,86.3,83.9,111.4592659,75.7,65000.0,1.191436661,2.5,송파구,아파트,201407,582.6060252990662,272.95331384350766,1470.4316248706466,833.6248956477706
35,21000,59.39,500104,2.7,109.8,110.3,113.7,82.88235294,152.8,37700.0,1.0338925123214722,3.5,노원구,아파트,202305,735.2572226946585,156.0901922213907,313.77097676927843,867.3135094743224
26,20000,68.86,352013,3.2,81.1,86.5,84.7,117.0098478,77.5,31056.25,0.878238575,2.0,도봉구,아파트,201410,533.6240017319594,174.74027895511765,1184.3986161120185,208.4169028118964
5,21000,62.88,394875,4.3,72.5,78.6,74.9,113.00987243652344,81.7,28800.0,0.8338344097137451,3.0,영등포구,오피스텔,201103,288.17749972894296,511.92466467291297,2554.265363678787,1586.4578491482828
4,7000,14.4,508137,4.5,79.2,85.6,82.7,121.038496,75.7,11500.0,1.274719904,2.5,관악구,오피스텔,201402,728.5160250592315,490.68906771708885,401.8851732327114,1428.1080647116505
33,45000,73.02,560257,3.2,89.1,94.0,90.3,112.5772286,91.2,99000.0,1.424301744,1.25,강남구,아파트,201612,994.8512624567481,227.1858778342196,4754.570771465573,1313.2788366641857
9,36500,84.97,497056,3.1,93.0,97.4,93.0,102.5154457,100.0,46265.0,1.060605188,1.5,관악구,아파트,201711,2930.860723588403,403.17119498296023,3803.098536530927,1421.177752459939
6,74000,130.16,554870,3.2,74.5,81.1,78.3,114.2539291381836,75.2,34000.0,1.176458716392517,3.25,강남구,아파트,201206,646.7627162388162,299.4871868278794,2349.6358120969276,1001.5371609186228
0,25000,84.99,359109,3.3,72.6,79.3,76.1,112.36465454101562,80.0,46911.0,1.198147892951965,3.25,동대문구,아파트,201106,1157.1519971232035,254.67371665857908,435.474300496622,1346.322558581648
5,140000,165.45,439276,3.9,79.4,85.9,83.0,120.2775291,76.0,139859.09,1.223452964,2.5,서초구,아파트,201403,733.5420059563036,80.48711124974383,1061.6662283156675,2733.0829375405906
14,31000,84.99,419625,4.0,82.9,88.1,85.7,120.9302326,79.4,41550.0,1.241960036,1.75,구로구,아파트,201503,2070.097821267689,261.3100768280006,809.222420572092,945.9949724142515
25,17000,59.39,587991,3.0,78.7,84.9,82.3,119.4775435,74.3,19842.86,1.222945213317871,2.5,노원구,아파트,201312,1190.128137254251,236.21428531582987,2414.456119040862,2166.492554728189
9,27000,59.93,355274,3.2,84.9,90.0,87.1,122.0035778,83.9,39000.0,1.262626263,1.5,동대문구,아파트,201509,328.0277734105399,535.559441379128,1360.3353504113259,382.7285377247509
6,45000,59.99,337801,4.2,98.5,100.1,99.4,108.3393764,135.7,105000.0,0.952623707,0.75,동대문구,아파트,202003,588.7226877483611,240.80395680551527,1145.8666231751663,372.7106225350203
13,47250,84.96,571614,2.8,107.1,104.8,105.2,108.2660515,188.5,120000.0,0.671992935,0.75,강서구,아파트,202110,1499.9236077237847,164.46135908758328,1787.5277759463406,1935.0081043413738
18,36000,74.54,557563,3.2,72.6,78.9,75.8,114.26666259765624,80.6,80566.67,1.1537470817565918,3.0,강남구,아파트,201105,684.8042694601448,244.03091094396115,5897.893212198117,283.14103751544565
32,31000,91.54,553927,3.9,75.7,82.4,79.9,110.3919781,72.7,63000.0,1.421299934387207,2.75,강남구,아파트,201302,671.3432507233985,440.2783483628551,1678.850499645906,475.2317148196931
21,19500,57.69,384272,3.3997151851654053,102.64159393310548,101.31404113769533,100.78565979003906,128.76576232910156,158.0308837890625,27500.0,0.7905265688896179,3.5,중랑구,연립다세대,202308,1261.6357105422167,206.65134522418612,1741.1267623152642,644.8283847336095
2,10702,59.83,479183,3.5,75.9,82.4,80.1,115.1916058,73.4,43833.33,1.463958501815796,2.75,강동구,아파트,201303,507.6726717132469,451.97672869410775,5847.763182216434,383.2541900685987
34,20000,65.16,433809,3.7,89.5,94.6,90.5,108.6054722,91.0,58500.0,0.967619601,1.25,강동구,아파트,201701,697.1847814149503,235.29353635207747,5054.448695600189,992.3292365474592
34,69000,104.02,435952,3.6,91.0,95.9,91.6,107.4712644,93.4,142250.0,1.057025018,1.25,서초구,아파트,201705,325.8489640178613,194.52277654990078,1298.2008610220923,2417.1575070667586
38,54000,84.43,549396,3.6,92.2,96.5,92.3,101.8534863,98.0,123416.67,1.37598654,1.25,강남구,아파트,201708,540.6147551950808,335.49703149671353,3726.633605572963,1725.2907431105607
36,52000,131.6,554870,2.9,75.3,82.1,79.4,109.2525068,72.1,147425.0,1.534955382347107,2.75,강남구,아파트,201212,892.00696378205,316.6860016910443,1809.793131849768,1119.5415251339953
19,41000,59.9,360221,3.4,98.0,101.1,99.1,112.0392157,131.7,62700.0,1.451422244,1.25,영등포구,아파트,201912,843.3667289713661,364.42645393208653,3067.1958301273476,920.3934149276835
17,21000,84.17,493515,3.8,79.6,86.0,83.4,114.3688451,76.0,25750.0,1.079200307,2.5,은평구,아파트,201404,264.76203993062063,164.65923583467355,879.5381667945225,217.39017541896558
29,20000,58.01,555097,3.3,93.1,97.2,93.3,100.1902588,100.9,31375.0,0.754199704,1.5,노원구,아파트,201712,735.2572226946585,156.0901922213907,313.77097676927843,867.3135094743224
37,25000,58.57,148098,3.3,93.1,97.2,93.3,100.1902588,100.9,32800.0,2.469909958,1.5,종로구,연립다세대,201712,1275.7524982835273,398.3417661730656,579.4118924711221,641.1698607033397
14,33000,59.52,431841,3.0,77.5,83.6,81.1,117.2777269,73.7,75000.0,1.4897947311401367,2.5,서초구,아파트,201308,440.0562194637757,214.40182581635267,770.0134201039514,1958.4908568530482
16,13000,49.77,359554,3.5,73.1,79.9,77.7,114.47257995605467,78.0,18375.0,1.0667171478271484,3.25,도봉구,아파트,201201,943.253492682961,393.8530899660463,3093.3480714551047,1792.3973812738395
29,80000,121.23,651722,4.1,90.4,95.3,91.0,107.6345984,91.7,115655.56,0.830784313,1.25,송파구,아파트,201703,558.2360098129598,228.86277066305811,528.6084446140628,1243.406525696159
7,40000,84.43,486578,3.6,86.7,92.1,89.2,115.7871199,86.6,72166.67,0.907574954,1.25,은평구,아파트,201606,79.59479825661465,334.37159653116464,3939.5100146265845,452.2693405054681
23,39900,59.9,393517,4.1,107.6,107.0,106.7,91.8781238,181.5,93000.0,0.7727770805358887,1.25,구로구,아파트,202201,729.6129788117767,128.25264190859855,1286.5796289782381,1065.2855399124173
18,38000,59.84,475845,3.6,87.5,92.9,89.5,115.9660107,89.2,59850.0,0.853386462,1.25,양천구,아파트,201608,419.37640025133,118.233324664744,2709.975968228876,1357.2351955325275
28,13700,38.0,565244,3.6,86.4,91.7,89.0,115.2504472,85.5,26514.0,0.795326429,1.5,노원구,아파트,201605,190.8442546484627,241.62356926214022,569.0240650456778,1407.2053928681505
22,41000,59.76,560257,4.9,85.5,91.0,88.4,116.5921288,84.5,82900.0,1.424301744,1.5,강남구,아파트,201602,508.91642802705917,176.9358053758722,5734.754210565825,468.4363807991276
23,31000,69.17,493055,3.0,96.9,100.5,98.7,99.98039216,127.1,45800.0,1.02989558,1.25,관악구,아파트,201910,1433.0135774202352,77.78923272180025,1780.1168922273232,509.47506039028434
15,35500,59.99,432108,3.6,94.6,98.4,95.4,98.28767123,121.5,74125.0,0.679492592,1.5,성북구,아파트,201809,344.5426953430517,221.94947272147817,1174.4370698459882,1119.327824475701
41,52500,82.45,662838,3.4,102.6,101.3,100.8,128.8196959,158.1,180500.0,0.80275876,0.5,송파구,아파트,202011,225.13298175484184,322.65685188765565,2508.127694257124,1502.8962171894907
0,14000,17.47,656198,3.2,94.7,98.6,96.1,91.40030441,120.6,22240.0,0.862203362,1.75,송파구,오피스텔,201811,0.0,416.88953406588394,3850.882396519771,449.3288941705085
17,55000,59.99,427809,5.7,103.8,101.3,101.4,131.173063,166.4,84933.33,0.547777763,0.5,성북구,아파트,202101,474.82314979690386,109.55124879660823,779.142245741257,677.2189882481299
0,20000,59.97,308639,2.8,75.0,81.7,79.2,116.9553327,72.8,57498.57,1.1679620742797852,2.75,서대문구,아파트,201211,936.4967212965033,190.8621774039416,1392.9156808167181,1168.7920269860165
4,11218,59.83,461499,4.0,82.9,88.1,85.7,120.9302326,79.4,49672.73,1.131828689,1.75,강동구,아파트,201503,747.4289030851047,293.0626659779786,5348.5726331059295,1064.9081715433156
44,54000,82.45,657101,2.7,109.8,110.3,113.7,82.88235294,152.8,187200.0,0.9190112352371216,3.5,송파구,아파트,202305,225.13298175484184,322.65685188765565,2508.127694257124,1502.8962171894907
10,26000,83.54,412023,4.5,79.2,85.6,82.7,121.038496,75.7,36783.33,1.264256243,2.5,중랑구,아파트,201402,1298.4788814041012,208.69033026243878,1258.7103814071902,1256.0934472185759
10,31000,59.98,580630,3.7,82.2,87.5,85.1,115.2504472,77.9,51867.5,0.937566624,2.0,강서구,아파트,201501,547.191838427566,394.51546236901015,694.1430846759504,464.62632539212336
26,30000,71.64,484474,3.0,81.4,86.6,84.9,115.7564906,77.5,43000.0,0.945980094,2.0,양천구,아파트,201411,254.78599283409704,351.610380889721,1565.8275462935924,871.8368566349905
27,17000,58.01,572940,4.0,82.9,88.1,85.7,120.9302326,79.4,23300.0,0.887204028,1.75,노원구,아파트,201503,966.7265753057451,221.62018005692482,1757.949999539671,1783.5687053300144
9,30000,84.94,231214,3.6,92.2,96.5,92.3,101.8534863,98.0,46750.0,1.28801417,1.25,금천구,아파트,201708,2561.0970527747318,430.45316591936177,4865.4008078567595,1592.977198459114
9,55000,83.0,553927,3.1,77.2,83.4,80.9,112.1448213,73.4,63200.0,1.1351237297058103,2.5,강남구,아파트,201307,603.8134098577053,193.00836945438937,3176.447866677263,651.1071433350925
