호선,역명,구주소,도로명주소,위도,경도,Region_Name
2호선,봉천,서울특별시 관악구 봉천동 979-7 봉천역(2호선),서울특별시 관악구 남부순환로 지하1721(봉천동),37.487812,126.957234,관악구
1호선,서울,서울특별시 중구 남대문로5가 73-6 서울역(1호선),서울특별시 중구 세종대로 지하2(남대문로 5가),37.5587351,126.9738593,중구
1호선,시청,서울특별시 중구 정동 5-5 시청역(1호선),서울특별시 중구 세종대로 지하101(정동),37.5666082,126.9731481,중구
1호선,종각,서울특별시 종로구 종로1가 54 종각역(1호선),서울특별시 종로구 종로 지하55(종로1가),37.5700105,126.9821081,종로구
1호선,종로3가,서울특별시 종로구 종로3가 10-5 종로3가역(1호선),서울특별시 종로구 종로 지하129(종로3가),37.5704474,126.990896,종로구
1호선,종로5가,서울특별시 종로구 종로5가 82-1 종로5가역(1호선),서울특별시 종로구 종로 지하216(종로5가),37.571031,127.0019512,종로구
1호선,동대문,서울특별시 종로구 창신동 492-1 동대문역(1호선),서울특별시 종로구 종로 지하302(창신동),37.5728396,127.0144679,종로구
1호선,신설동,서울특별시 동대문구 신설동 76-5 신설동역(1호선),서울특별시 동대문구 왕산로 지하1(신설동),37.578486,127.0270996,동대문구
1호선,제기동,서울특별시 동대문구 제기동 65 제기동역(1호선),서울특별시 동대문구 왕산로 지하93(제기동),37.5837593,127.0372351,동대문구
1호선,청량리(서울시립대입구),서울특별시 동대문구 전농동 620-69 청량리역(1호선),서울특별시 동대문구 왕산로 지하205(전농동),37.5797474,127.0557043,동대문구
1호선,동묘앞,서울특별시 종로구 숭인동 117 동묘앞역(1호선),서울특별시 종로구 종로 359(숭인동),37.5775993,127.0223262,종로구
2호선,시청,서울특별시 중구 서소문동 90-1 시청역(2호선),서울특별시 중구 서소문로 지하127(서소문동),37.561398,126.9740126,중구
2호선,을지로입구,서울특별시 중구 을지로1가 100-1 을지로입구역(2호선),서울특별시 중구 을지로 지하42(을지로1가),37.5666911,126.9802528,중구
2호선,을지로3가,서울특별시 중구 을지로3가 347-3 을지로3가역(2호선),서울특별시 중구 을지로 지하106(을지로3가),37.5662094,126.9902284,중구
2호선,을지로4가,서울특별시 중구 을지로4가 267-1 을지로4가역(2호선),서울특별시 중구 을지로 지하178(을지로4가),37.5665899,126.9982939,중구
2호선,동대문역사문화공원(DDP),서울특별시 중구 을지로 7가 112-3 동대문역사문화공원역(2호선),서울특별시 중구 을지로 지하279(을지로7가),37.5662916,127.0096225,중구
2호선,신당,서울특별시 중구 신당동 99 신당역(2호선),서울특별시 중구 퇴계로 지하431-1(신당동),37.5613874,126.9962601,중구
2호선,상왕십리,서울특별시 성동구 하왕십리동 946-14 상왕십리역(2호선),서울특별시 성동구 왕십리로 지하374(하왕십리동),37.5639874,127.0280247,성동구
2호선,왕십리(성동구청),서울특별시 성동구 행당동 192 왕십리역(2호선),서울특별시 성동구 왕십리로 지하300(행당동),37.5596331,127.0303221,성동구
2호선,한양대,서울특별시 성동구 행당동 산17 한양대역(2호선),서울특별시 성동구 왕십리로 206(행당동),37.5608641,127.0367939,성동구
2호선,뚝섬,서울특별시 성동구 성수동1가 656-745 뚝섬역(2호선),서울특별시 성동구 아차산로 18(성수동1가),37.5463387,127.0535209,성동구
2호선,성수,서울특별시 성동구 성수동2가 300-1 성수역(2호선),서울특별시 성동구 아차산로 100(성수동2가),37.5446813,127.0569827,성동구
2호선,건대입구,서울특별시 광진구 화양동 7-3 2호선 건대입구역(2호선),서울특별시 광진구 아차산로 243(화양동),37.5408156,127.0690315,광진구
2호선,구의(광진구청),서울특별시 광진구 구의동 245-24 구의역(2호선),서울특별시 광진구 아차산로 384-1(구의동),37.5444007,127.092844,광진구
2호선,강변(동서울터미널),서울특별시 광진구 구의동 546-6 강변역(2호선),서울특별시 광진구 강변역로 53(구의동),37.5353816,127.0945451,광진구
2호선,잠실나루,서울특별시 송파구 신천동 15 잠실나루역(2호선),서울특별시 송파구 오금로 20(신천동),37.5189313,127.104757,송파구
2호선,잠실(송파구청),서울특별시 송파구 신천동 8 잠실역(2호선),서울특별시 송파구 올림픽로 지하265(신천동),37.5209922,127.0991094,송파구
2호선,잠실새내,서울특별시 송파구 잠실동 33 잠실새내역(2호선),서울특별시 송파구 올림픽로 지하140(잠실동),37.5045774,127.0727245,송파구
2호선,종합운동장,서울특별시 송파구 잠실동 122 종합운동장역(2호선),서울특별시 송파구 올림픽로 지하23(잠실동),37.5166152,127.0877398,송파구
2호선,삼성(무역센터),서울특별시 강남구 삼성동 172-66 삼성역(2호선),서울특별시 강남구 테헤란로 지하538(삼성동),37.508861,127.063149,강남구
2호선,선릉,서울특별시 강남구 삼성동 172-66 선릉역(2호선),서울특별시 강남구 테헤란로 지하340(삼성동),37.508861,127.063149,강남구
2호선,역삼,서울특별시 강남구 역삼동 804 역삼역(2호선),서울특별시 강남구 테헤란로 지하156(역삼동),37.5003324,127.0362649,강남구
2호선,강남,서울특별시 강남구 역삼동 858 강남역(2호선),서울특별시 강남구 강남대로 지하396(역삼동),37.5000776,127.0385419,강남구
2호선,"교대(법원, 검찰청)",서울특별시 서초구 서초동 1748-4 교대역(2호선),서울특별시 서초구 서초대로 지하294(서초동),37.4910405,127.004581,서초구
2호선,서초,서울특별시 서초구 서초동 1748-5 서초역(2호선),서울특별시 서초구 서초대로 지하233(서초동),37.4910405,127.004581,서초구
2호선,방배,서울특별시 서초구 방배동 912-14 방배역(2호선),서울특별시 서초구 방배로 지하80(방배동),37.4870964,126.9958157,서초구
2호선,사당,서울특별시 동작구 사당동 1129 사당역(2호선),서울특별시 동작구 남부순환로 지하2089(사당동),37.4798074,126.9772568,동작구
2호선,낙성대(강감찬),서울특별시 관악구 봉천동 1693-39 낙성대역(2호선),서울특별시 관악구 남부순환로 지하1928(봉천동),37.4799015,126.9404631,관악구
2호선,서울대입구(관악구청),서울특별시 관악구 봉천동 979-2 서울대입구역(2호선),서울특별시 관악구 남부순환로 지하1822(봉천동),37.4799015,126.9404631,관악구
2호선,신림,서울특별시 관악구 신림동 1467-10 신림역(2호선),서울특별시 관악구 남부순환로 지하1614(신림동),37.4867897,126.9276112,관악구
2호선,신대방,서울특별시 동작구 신대방동 643-1 신대방역(2호선),서울특별시 동작구 대림로 2(신대방동),37.487549,126.9129603,동작구
2호선,구로디지털단지,서울특별시 구로구 구로동 810-3 구로디지털단지역(2호선),서울특별시 구로구 도림천로 477(구로동),37.485363,126.9010775,구로구
2호선,대림(구로구청),서울특별시 구로구 구로동 1204 대림역(2호선),서울특별시 구로구 도림천로 351(구로동),37.4934315,126.8947998,구로구
2호선,신도림,서울특별시 구로구 신도림동 460-26 신도림역(2호선),서울특별시 구로구 새말로 지하 117-21(신도림동),37.5088099,126.8912061,구로구
2호선,문래,서울특별시 영등포구 문래동3가 68-1 문래역(2호선),서울특별시 영등포구 당산로 지하28(문래동3가),37.518811,126.8996216,영등포구
