Sell_Price,Sell_Count,JS_Price,JS_Count,CR,UR,LC_index,CA_index,TC_index,SDT_index,IR,Crime_Rates,Total_Pop,Univ_Counts,Park_Counts,School_Counts,Subway_Counts
25309.88,42,39900.0,10,157.65,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,554870,1.0,7,77,21
15573.33,15,13035.71,14,83.71,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,484742,0.0,7,60,14
13150.0,7,8200.0,10,62.36,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,338041,1.0,4,34,3
12285.0,44,12953.85,26,105.44,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,561431,2.0,9,80,9
12520.38,24,7614.38,40,60.82,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,517095,1.0,2,55,4
28366.67,12,9525.0,8,33.58,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,366312,3.0,2,42,11
13597.23,26,13432.89,76,98.79,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,422946,3.0,4,54,7
16300.0,3,8772.73,11,53.82,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,239085,0.0,4,33,1
14541.11,9,12768.75,16,87.81,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,594568,7.0,2,93,13
15083.33,9,11500.0,11,76.24,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,359554,1.0,6,46,3
11457.79,29,8738.1,21,76.26,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,357595,5.0,4,47,6
13478.8,5,13166.67,6,97.68,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,397899,3.0,7,44,12
20366.43,37,13400.0,25,65.79,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,380669,3.0,5,45,16
17960.0,10,13800.0,10,76.84,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,308639,9.0,4,40,5
21002.38,42,12700.0,5,60.47,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,427540,3.0,6,50,12
14995.0,10,9300.0,15,62.02,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,295034,2.0,5,41,14
11476.0,4,14000.0,2,121.99,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,475852,7.0,3,60,9
20857.45,22,11850.0,10,56.81,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,669058,1.0,7,89,28
17454.55,11,23228.95,38,133.08,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,492793,0.0,5,64,5
15182.96,117,16557.95,88,109.06,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,387175,0.0,5,44,11
