Sell_Price,Sell_Count,JS_Price,JS_Count,CR,UR,LC_index,CA_index,TC_index,SDT_index,IR,Crime_Rates,Total_Pop,Univ_Counts,Park_Counts,School_Counts,Subway_Counts
28362.79,38,17478.57,140,61.63,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,554870,1.0,7,77,21
21700.65,46,13329.66,145,61.43,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,484742,0.0,7,60,14
15024.55,110,8307.1,169,55.29,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,338041,1.0,4,34,3
15692.32,127,9694.12,255,61.78,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,561431,2.0,9,80,9
19300.76,66,12040.83,169,62.39,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,517095,1.0,2,55,4
17896.62,74,13795.81,167,77.09,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,366312,3.0,2,42,11
17018.89,45,9106.07,140,53.51,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,422946,3.0,4,54,7
17699.23,39,9918.97,58,56.04,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,239085,0.0,4,33,1
13208.36,47,9153.97,63,69.3,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,594568,7.0,2,93,13
15022.46,69,8476.92,78,56.43,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,359554,1.0,6,46,3
16724.0,34,10895.0,60,65.15,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,357595,5.0,4,47,6
21573.61,62,13328.51,175,61.78,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,397899,3.0,7,44,12
17516.56,93,11306.6,212,64.55,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,380669,3.0,5,45,16
17426.93,70,10417.53,97,59.78,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,308639,9.0,4,40,5
34720.73,30,18326.59,173,52.78,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,427540,3.0,6,50,12
21807.0,15,11056.92,65,50.7,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,295034,2.0,5,41,14
16652.04,49,10051.81,166,60.36,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,475852,7.0,3,60,9
23995.14,72,13007.33,446,54.21,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,669058,1.0,7,89,28
15287.0,95,10454.6,174,68.39,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,492793,0.0,5,64,5
12798.78,41,10967.39,46,85.69,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,387175,0.0,5,44,11
54772.86,28,12715.84,101,23.22,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,235931,2.0,2,34,10
16267.7,178,9381.92,287,57.67,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,489536,1.0,7,66,13
20132.26,31,15061.54,65,74.81,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,161487,6.0,12,36,15
20495.0,10,14283.87,31,69.69,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,129204,2.0,4,31,23
16576.15,65,10515.52,87,63.44,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,415245,1.0,6,48,8
37970.71,35,16420.26,153,43.24,3.0,74.5,81.1,78.6,101.6864175,3.0,1.5488460135849778,554870,1.0,7,77,21
24988.33,30,13671.74,184,54.71,3.0,74.5,81.1,78.6,101.6864175,3.0,1.5488460135849778,484742,0.0,7,60,14
15830.0,95,8822.36,161,55.73,3.0,74.5,81.1,78.6,101.6864175,3.0,1.5488460135849778,338041,1.0,4,34,3
15729.53,127,10137.45,271,64.45,3.0,74.5,81.1,78.6,101.6864175,3.0,1.5488460135849778,561431,2.0,9,80,9
18160.81,74,11582.5,200,63.78,3.0,74.5,81.1,78.6,101.6864175,3.0,1.5488460135849778,517095,1.0,2,55,4
17474.72,89,13580.12,171,77.71,3.0,74.5,81.1,78.6,101.6864175,3.0,1.5488460135849778,366312,3.0,2,42,11
17381.0,50,8766.39,122,50.44,3.0,74.5,81.1,78.6,101.6864175,3.0,1.5488460135849778,422946,3.0,4,54,7
15946.88,48,10483.33,84,65.74,3.0,74.5,81.1,78.6,101.6864175,3.0,1.5488460135849778,239085,0.0,4,33,1
12946.97,33,9590.62,64,74.08,3.0,74.5,81.1,78.6,101.6864175,3.0,1.5488460135849778,594568,7.0,2,93,13
13511.86,118,8484.62,104,62.79,3.0,74.5,81.1,78.6,101.6864175,3.0,1.5488460135849778,359554,1.0,6,46,3
17241.38,29,10775.51,49,62.5,3.0,74.5,81.1,78.6,101.6864175,3.0,1.5488460135849778,357595,5.0,4,47,6
21122.64,53,13249.45,182,62.73,3.0,74.5,81.1,78.6,101.6864175,3.0,1.5488460135849778,397899,3.0,7,44,12
18561.11,63,12306.7,224,66.3,3.0,74.5,81.1,78.6,101.6864175,3.0,1.5488460135849778,380669,3.0,5,45,16
17219.44,54,9881.61,87,57.39,3.0,74.5,81.1,78.6,101.6864175,3.0,1.5488460135849778,308639,9.0,4,40,5
