Building_Age,JS_Price,JS_BA,Population,UR,LC_index,CA_index,TC_index,SDT_index,HSP_index,Sell_Price,Crime_Rates,위도,경도,IR,Region_Name,Building_Use,YearMonth,Shortest_Distance_to_Subway,Shortest_Distance_to_University,Shortest_Distance_to_School
15,18000,59.97,299533,3.8,72.0,78.2,74.2,114.09932708740234,81.2,31400.0,0.9304802417755128,37.5502517,127.0295016,2.75,성동구,아파트,2011-01-01,459.3891915396844,1783.606149351301,370.0031648938953
32,30000,84.43,557563,3.8,72.0,78.2,74.2,113.00987243652344,81.2,100404.17,0.8420829176902771,37.4974176,127.0653272,2.75,강남구,아파트,2011-01-01,540.7788869256138,3723.160550967055,336.1230787817961
14,22000,59.82,368260,3.8,72.0,78.2,74.2,113.00987243652344,81.2,56836.67,0.8367490172386169,37.5373973,127.0976212,2.75,광진구,아파트,2011-01-01,351.8570091075633,1517.638732240736,470.6860162085925
25,18000,47.94,494724,3.8,72.0,78.2,74.2,114.09910583496094,81.2,82850.0,0.9434669613838196,37.5346421,126.8848163,2.75,양천구,아파트,2011-01-01,1304.834707172883,3053.953581019365,180.64433417789348
12,23500,149.97,420803,3.8,72.0,78.2,74.2,114.27025604248048,81.2,34030.0,0.8543096780776978,37.4952641,126.8625018,2.75,구로구,아파트,2011-01-01,1787.8476111123357,718.7009718616338,318.83618976324055
15,23000,59.95,368260,3.8,72.0,78.2,74.2,114.2539291381836,81.2,45760.0,1.1715048551559448,37.5424654,127.0962926,2.75,광진구,아파트,2011-01-01,179.92662325631517,1081.249337998446,266.5658442974582
28,20000,56.9,427110,3.8,72.0,78.2,74.2,112.76580047607422,81.2,39500.0,1.0889791250228882,37.5046903,126.9977436,2.75,서초구,아파트,2011-01-01,313.7242922148977,837.2643677520508,84.32707224776658
8,20000,84.84,479088,3.8,72.0,78.2,74.2,114.3445053100586,81.2,38977.27,1.176902174949646,37.6070327,127.0383656,2.75,성북구,아파트,2011-01-01,838.3908600283332,351.7018530537073,228.50120047370962
2,21000,84.53,486546,3.8,72.0,78.2,74.2,114.35466003417967,81.2,37359.0,1.1751325130462646,37.5615237,127.1768781,2.75,강동구,아파트,2011-01-01,840.7916360828641,6170.71580779623,264.24869135945454
8,24000,78.19,396306,3.8,72.0,78.2,74.2,114.26666259765624,81.2,39250.0,1.1541755199432373,37.4894085,126.9084263,2.75,동작구,아파트,2011-01-01,450.31340549025407,3756.9831370703196,313.41731038369545
8,33000,114.96,394875,3.8,72.0,78.2,74.2,114.46012878417967,81.2,50650.0,0.9298766851425172,37.5244556,126.9004348,2.75,영등포구,아파트,2011-01-01,294.56352264345423,3452.0703850663945,317.2259852954722
3,43000,84.79,674828,3.8,72.0,78.2,74.2,114.32194519042967,81.2,87492.86,1.1966338157653809,37.5205362,127.1061511,2.75,송파구,아파트,2011-01-01,216.71101311580412,2192.399145364177,213.1713584268973
22,20000,84.53,299533,3.8,72.0,78.2,74.2,114.3445053100586,81.2,39500.0,1.1746684312820437,37.5528936,127.0325198,2.75,성동구,아파트,2011-01-01,627.6525626356922,1417.6329244275105,232.29567280328476
28,27000,95.84,674828,3.8,72.0,78.2,74.2,114.36682891845705,81.2,69166.67,1.1428377628326416,37.5028182,127.0829335,2.75,송파구,아파트,2011-01-01,442.26013740821355,4573.9594209374045,454.85043105924467
4,28000,59.87,384129,3.8,72.0,78.2,74.2,114.20519256591795,81.2,58750.0,1.0274628400802612,37.5462717,126.9296859,2.75,마포구,아파트,2011-01-01,162.82470025886747,460.6594283526946,334.3990965473452
0,19000,59.72,486546,3.8,72.0,78.2,74.2,112.36187744140624,81.2,37259.5,1.204228162765503,37.5524225,127.1753241,2.75,강동구,아파트,2011-01-01,747.1594503879329,5346.430326835916,293.1762695079026
8,17500,60.0,521193,3.8,72.0,78.2,74.2,114.46012878417967,81.2,36690.91,0.9334390163421632,37.4897675,126.95062,2.75,관악구,아파트,2011-01-01,622.7488138976516,916.9381126421675,286.1868935159953
32,22000,88.62,427110,3.8,72.0,78.2,74.2,114.3445053100586,81.2,90725.0,1.1794980764389038,37.5007956,127.0238992,2.75,서초구,아파트,2011-01-01,829.9680083172241,1360.9667674202187,173.8919837647594
30,18500,53.88,427110,3.8,72.0,78.2,74.2,113.80867004394533,81.2,66950.0,1.4630776643753052,37.5126077,127.0140026,2.75,서초구,아파트,2011-01-01,278.55979438315336,1573.8296133628035,424.93749505210883
23,26500,62.19,674828,3.8,72.0,78.2,74.2,114.11943817138672,81.2,101641.18,0.9709198474884032,37.5175612,127.1363717,2.75,송파구,아파트,2011-01-01,558.8812922441073,527.7822077080568,228.49886188621775
0,20500,84.83,486546,3.8,72.0,78.2,74.2,112.36187744140624,81.2,37259.5,1.20285964012146,37.5524225,127.1753241,2.75,강동구,아파트,2011-01-01,747.1594503879329,5346.430326835916,293.1762695079026
25,18000,47.94,494724,3.8,72.0,78.2,74.2,114.25061798095705,81.2,82850.0,1.1483869552612305,37.5346421,126.8848163,2.75,양천구,아파트,2011-01-01,1304.834707172883,3053.953581019365,180.64433417789348
7,18000,84.88,239926,3.8,72.0,78.2,74.2,112.37483215332033,81.2,33700.0,1.2026145458221436,37.4647703,126.8887235,2.75,금천구,아파트,2011-01-01,2043.434145510829,4326.3710290473055,339.783022472199
0,23000,84.92,479088,3.8,72.0,78.2,74.2,111.46024322509766,81.2,48950.0,1.1840022802352903,37.6075254,127.0535628,2.75,성북구,아파트,2011-01-01,531.0016527435083,702.939514192843,483.7398499022822
17,9000,33.18,564602,3.8,72.0,78.2,74.2,113.00987243652344,81.2,20255.56,0.8338344097137451,37.5771886,126.8102531,2.75,강서구,아파트,2011-01-01,706.4026378032581,4181.755578789581,202.09299709944545
12,26000,84.77,384129,3.8,72.0,78.2,74.2,114.47366333007812,81.2,50300.0,1.2753900289535522,37.5447302,126.9425709,2.75,마포구,아파트,2011-01-01,272.9845502482733,505.47082992767685,387.1160330617558
11,19500,84.96,494724,3.8,72.0,78.2,74.2,114.2153778076172,81.2,52100.0,1.0304564237594604,37.5078744,126.8667209,2.75,양천구,아파트,2011-01-01,501.93361403705944,879.2530064663961,380.6152662921107
3,48000,84.8,674828,3.8,72.0,78.2,74.2,114.46012878417967,81.2,90080.56,0.9331915378570556,37.5140688,127.0813814,2.75,송파구,아파트,2011-01-01,628.2292012673228,3320.4392805860484,105.38715073114696
22,8000,84.96,359109,3.8,72.0,78.2,74.2,114.3445053100586,81.2,34200.0,1.1796762943267822,37.5896042,127.0518226,2.75,동대문구,아파트,2011-01-01,1148.157892730549,525.0897024764076,104.54121460698313
18,37000,84.87,427110,3.8,72.0,78.2,74.2,114.32112884521484,81.2,73833.33,1.4930425882339478,37.4962993,127.0182658,2.75,서초구,아파트,2011-01-01,1341.4866924177627,704.3147294701013,458.6123053159888
24,12000,73.89,362400,3.8,72.0,78.2,74.2,113.00987243652344,81.2,26150.0,0.8338344097137451,37.681059,127.0488486,2.75,도봉구,아파트,2011-01-01,907.2944113832793,3844.9403168142926,444.23375216726515
8,34000,84.78,420803,3.8,72.0,78.2,74.2,112.99313354492188,81.2,83850.0,0.8753140568733215,37.5105999,126.8868469,2.75,구로구,아파트,2011-01-01,432.96716834008674,2035.7327326048228,125.93533926902748
19,17500,84.87,362400,3.8,72.0,78.2,74.2,114.35694122314452,81.2,34741.67,0.9591601490974426,37.6490829,127.0485403,2.75,도봉구,아파트,2011-01-01,483.49421175096614,1380.0301818586188,154.73989062046397
