Region_Name,Building_Age,Building_Use,JS_Price,JS_BA,Population,IR,UR,LC_index,CA_index,TC_index,SDT_index,HSP_index,Sell_Price,Crime_Rates,Shortest_Distance_to_Subway,Shortest_Distance_to_School,Shortest_Distance_to_Univ,YearMonth,Shortest_Distance_to_Park
성동구,19,아파트,22000,59.97,292786.0,2.0,3.0,81.4,86.6,84.9,115.7564906,77.5,38683.33,1.178712104,555.9863077115982,295.5696426368813,1339.5045350203663,201411,1028.41950852269
도봉구,18,아파트,16000,84.98,357523.33,3.0,4.3,72.5,78.6,74.9,106.86646442499988,81.7,29800.0,0.8484595590799987,2027.6751786561626,149.31586071544515,765.7509610499171,201103,627.8709565745487
송파구,35,아파트,21000,46.54,654241.0,1.75,3.7,83.7,88.0,86.0,120.3488372,80.9,68855.0,1.015461137,255.77489590840474,472.01522357315974,2129.7953106839886,201505,1405.7038452303364
노원구,24,아파트,13000,59.28,588021.8,3.25,3.3,72.7,79.5,76.5,108.37618581199992,80.1,23250.0,0.906348471759999,283.5650401152974,291.02071426567113,517.7417288296343,201107,1015.2230856553366
관악구,14,아파트,34000,84.87,508137.0,2.5,4.5,79.2,85.6,82.7,121.038496,75.7,40303.85,1.274719904,556.5399071845701,273.26824134282697,989.16255918804,201402,944.475850271243
광진구,11,아파트,67500,84.94,361146.0,2.25,3.1,80.8,86.6,84.5,114.4583706,77.1,84750.0,1.660947334,278.5767551066433,133.4319717656467,948.756209803718,201409,988.2874837884968
도봉구,24,아파트,32000,84.88,332026.0,1.75,4.5,94.8,99.0,96.7,78.90196078,117.9,38150.0,0.628666601,1514.914239781607,357.2159662833514,1674.3557839336088,201901,673.5815330791811
노원구,32,아파트,30450,84.2,522235.0,0.5,3.4,102.6,101.3,100.8,128.8196959,158.1,55445.0,0.710203555,476.1927652262219,186.50907159466976,232.77042189190882,202011,1034.4225404810102
양천구,14,아파트,34000,96.83,475845.0,1.5,3.9,86.1,91.2,88.8,114.5348837,84.8,57900.0,0.853386462,930.9589905076597,319.805675984018,1255.9866878018047,201604,906.9670115067522
성북구,20,아파트,50000,111.55,432108.0,1.5,3.5,94.7,98.5,95.7,94.44444444,122.4,39333.33,0.679492592,421.7549050643975,215.92451533564233,893.64214292863,201810,357.2426000296393
강북구,9,아파트,13000,59.67,334980.0,2.5,2.6,78.3,84.5,82.1,119.3858845,74.5,30533.33,1.153586200479999,1709.5968397112715,253.21715690626445,730.0428326477011,201311,951.0763316846259
마포구,10,아파트,37000,84.69,377446.0,2.0,3.3,81.7,87.2,84.9,116.8755595,77.4,49000.0,1.450117475,519.1997011943912,357.15923259732267,1784.9414518964202,201412,1302.7255147663402
강남구,30,아파트,32500,33.18,522782.0,2.5,2.4,109.4,109.2,110.8,88.96289888249994,164.0,92000.0,1.1409140410399994,951.7861440558096,373.5033075351692,4651.933167614626,202209,1648.0959856361721
강남구,14,아파트,129000,84.35,522782.0,2.5,2.1,109.0,109.0,110.3,87.67781622,167.9,280000.0,1.1361575023399997,552.467005187389,251.3175864736018,1543.5158535437877,202208,660.1684432402234
강남구,1,아파트,90000,59.97,531575.0,1.25,3.4,98.0,101.1,99.1,112.0392157,131.7,231000.0,1.327495552,294.8624413025749,160.64267793548942,5296.507121971271,201912,1076.0691246126432
도봉구,1,오피스텔,21000,29.89,317794.0,0.5,4.9,104.3,101.6,101.7,126.2853005,168.7,23742.86,0.582391123,1417.191206097788,492.1385379749579,1819.4943824984505,202102,545.2408919680604
동대문구,5,아파트,33000,59.74,355274.0,2.0,3.7,82.2,87.5,85.1,115.2504472,77.9,45793.75,1.262626263,192.1742960527382,229.51840265113208,1628.4444154256769,201501,272.07863110281824
강남구,38,아파트,100000,152.39,530126.0,0.75,4.2,98.5,100.1,99.4,108.3393764,135.7,239500.0,1.352069184,802.6653229936163,203.1120893924478,1184.018990820309,202003,948.2525102759173
강서구,5,아파트,54000,84.98,569162.08,3.25,3.0,109.5,108.4,112.4,94.23059681719997,141.8,114000.0,0.6957712922200001,693.5996114252523,241.53532027573021,2370.1878078996624,202212,2379.7847511711493
노원구,29,아파트,13500,38.64,512274.0,0.5,4.3,104.9,102.3,102.2,119.4605358,169.3,67333.33,0.665118284,412.08036860191726,162.93708933771822,1131.7858841743346,202103,2088.419339308933
