Building_Age,JS_Price,JS_BA,Population,UR,LC_index,CA_index,TC_index,SDT_index,HSP_index,Sell_Price,Crime_Rates,IR,Region_Name,Building_Use,YearMonth,Shortest_Distance_to_Subway,Shortest_Distance_to_School,Shortest_Distance_to_Univ
14,22500,84.7,433809,4.1,90.4,95.3,91,107.6345984,91.7,39900,0.967619601,1.25,강동구,아파트,201703,218.5466615,342.3206374,2080.047982
0,16000,17.45,662019,3.4,98,101.1,99.1,112.0392157,131.7,18000,0.834577094,1.25,송파구,오피스텔,201912,365.1670807,428.396368,2078.432085
30,42000,108.47,553927,2.7,78,84.3,81.7,120.4399633,74.7,135000,1.537764072,2.5,강남구,아파트,201310,698.1272205,334.8077844,1514.22279
4,48000,84.95,674828,2.9,72.9,80,77.1,114.3668289,79.4,91646.15,1.145651698,3.25,송파구,아파트,201110,536.9477001,24.17646321,3817.518298
0,70000,84.99,302243,2.1,109,109,110.3,87.67781622,167.9,108000,0.725825906,2.5,서대문구,아파트,202208,1173.890039,335.9498164,1165.416466
31,18000,59.28,532511,4,95.6,99.5,97.7,76.35294118,119.6,39572.73,0.772934452,1.75,노원구,아파트,201906,1224.549132,142.913494,2041.445464
20,12000,49.94,339529,3,72.8,79.8,76.8,113.7919312,80.2,19350,1.46391201,3.25,강북구,아파트,201108,937.3073035,161.4843942,996.1744294
5,33000,52.56,312179,3,107.8,107.6,107.7,90.60938101,181.3,41000,0.846155763,1.25,도봉구,연립다세대,202203,2347.789874,619.0033648,1081.298634
32,21500,49.85,512274,5.7,103.8,101.3,101.4,131.173063,166.4,52650,0.665118284,0.5,노원구,아파트,202101,583.0407522,171.5153802,553.0232639
28,36000,129.66,229269,3.1,96.3,100.2,98.5,95.90196078,125.2,46666.67,1.233023588,1.5,금천구,아파트,201909,2918.943983,188.8896235,5143.969266
7,47000,114.66,476894,4.6,93.6,97.8,93.9,99.543379,104.8,47106.25,0.736159585,1.5,은평구,아파트,201802,1515.442243,151.3508637,701.0466282
12,35000,85,580630,4.5,82.5,88.1,85.4,116.8157424,78.6,47783.33,0.937566624,2,강서구,아파트,201502,747.8423309,397.0331788,711.9077185
3,44500,59.35,425410,4.7,95,98.7,96.9,69.88235294,117.1,102666.67,0.911464838,1.75,강동구,아파트,201902,874.7530595,237.3672619,3943.018967
11,44000,108.15,381707,3.9,75.7,82.4,79.9,110.3919781,72.7,41125,1.116175056,2.75,영등포구,아파트,201302,715.6914008,250.7526709,2557.815329
5,50300,84.8,662392,3.4,75.4,82.3,79.7,107.7484047,72.4,82405.88,1.176691771,2.75,송파구,아파트,201301,629.175924,105.5784655,3314.878382
8,30500,84.79,420803,2.9,72.9,80,77.1,113.0098724,79.4,51150,0.836749017,3.25,구로구,아파트,201110,744.9895787,94.30345551,1367.667687
0,27200,37.87,450971,4.5,98.5,98.3,99.5,104.1001451,135.1,27200,0.702519327,0.5,양천구,연립다세대,202005,1411.897124,302.8435648,2962.703316
13,195000,138.32,531575,3.4,98,101.1,99.1,112.0392157,131.7,241911.76,1.327495552,1.25,강남구,아파트,201912,720.6075521,200.118684,3057.379608
1,32000,62.96,325050,3.1,100.4,99.3,100.2,120.7096307,151.9,36300,0.665626021,0.5,도봉구,연립다세대,202008,1347.387605,162.4485915,3576.129496
11,13000,39.36,300991,3.7,93.4,97.6,93.6,100.0761035,103,26200,0.776394081,1.5,성동구,오피스텔,201801,310.875617,371.254935,909.8178836
33,30000,56.9,439368,3.3,88.3,93.1,89.9,115.0485437,91.6,96000,1.105039681,1.25,서초구,아파트,201610,314.357456,84.52635136,837.9165019
12,15000,59.4,313144,3,72.9,80.1,77.6,113.0098724,77.8,26350,0.83383441,3.25,서대문구,아파트,201112,1460.713826,211.3076782,638.3827765
15,43000,84.77,342485,4.1,93.8,98.1,94.4,89.53576865,107.4,61300,1.010051106,1.5,동대문구,아파트,201804,842.974334,97.69866507,1628.697648
16,24000,30.36,144865,3.4,102.6,101.3,100.8,128.8196959,158.1,30250,1.950992478,0.5,종로구,오피스텔,202011,124.9605249,543.6933317,701.227
24,12500,58.46,594568,3.5,74.3,80.8,78,114.2567062,76.2,14500,1.174376249,3.25,노원구,아파트,201204,643.1852766,205.233993,1817.658686
22,28000,32.76,308122,2.558247089,106.8329544,103.8881454,103.9801941,118.4425354,184.4481506,71950,1.357404947,3.5,서대문구,아파트,202308,874.8002218,111.6838578,1025.141417
31,12000,58.08,553927,3.9,75.7,82.4,79.9,110.3919781,72.7,71450,0.908945739,2.75,강남구,아파트,201302,1670.781895,744.7669909,4211.027316
