Sell_Price,Sell_Count,JS_Price,JS_Count,CR,UR,LC_index,CA_index,TC_index,SDT_index,IR,Crime_Rates,Total_Pop,Univ_Counts,Park_Counts,School_Counts,Subway_Counts
82549.28,133,38076.56,750,46.13,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,554870,1.0,7,77,21
44177.42,116,21442.84,490,48.54,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,484742,0.0,7,60,14
28957.76,58,18593.14,217,64.21,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,338041,1.0,4,34,3
29813.92,96,19282.7,548,64.68,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,561431,2.0,9,80,9
27317.47,99,21386.54,260,78.29,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,517095,1.0,2,55,4
53218.29,41,31050.78,193,58.35,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,366312,3.0,2,42,11
28535.6,84,19526.72,378,68.43,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,422946,3.0,4,54,7
27201.32,38,15635.43,127,57.48,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,239085,0.0,4,33,1
24130.67,239,15212.58,786,63.04,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,594568,7.0,2,93,13
26242.15,130,15827.23,303,60.31,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,359554,1.0,6,46,3
34531.88,64,20829.55,197,60.32,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,357595,5.0,4,47,6
46775.5,86,27857.27,358,59.56,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,397899,3.0,7,44,12
56899.2,93,28620.25,321,50.3,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,380669,3.0,5,45,16
36379.54,61,21466.84,201,59.01,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,308639,9.0,4,40,5
92191.67,83,39859.89,521,43.24,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,427540,3.0,6,50,12
49557.82,67,27933.86,373,56.37,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,295034,2.0,5,41,14
34681.85,112,22737.99,496,65.56,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,475852,7.0,3,60,9
63003.52,169,34009.23,888,53.98,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,669058,1.0,7,89,28
49676.48,97,25422.66,442,51.18,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,492793,0.0,5,64,5
39318.67,82,24173.85,392,61.48,3.1,74.5,81.5,78.5,102.461258,3.0,1.5488460135849778,387175,0.0,5,44,11
