"시점","행정구역(시군구)별","성별",계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80 - 84세,85 - 89세,90 - 94세,95 - 99세,100세 이상
"2000","서울특별시","계",10287787,631197,665410,628820.5,824109.5,921977,1145988,1003374.5,911285.5,908303.5,699872,577565.5,478557,347730.5,218124,143568.5,96622,52857.5,23654,7122,1311,337.5
"2000","종로구","계",186484,9315.5,10574.5,10865.5,13953,15976.5,20883,17360,15821.5,15647,12084,10755.5,10434,8615.5,5599.5,3773,2533.5,1386,644.5,212,44.5,5.5
"2000","중구","계",133632,7282,7709,6692.5,9086.5,11499,15425.5,13447,11529.5,10889.5,8438.5,7813.5,7713.5,6073,3967.5,2811.5,1822,896,381.5,127,23.5,4
"2000","용산구","계",238788,13407.5,13534.5,12076,16405,20385.5,28196.5,24186,20460.5,19581,14932.5,13469.5,13359.5,11178,7329,4756.5,3021,1548,670.5,231.5,46,13.5
"2000","성동구","계",339982.5,22717.5,22586.5,18633.5,23485,29502,40742,36897,31595,27612.5,20091,17843.5,16651.5,12989.5,8068,4889,3020,1635.5,725,236.5,47,15
"2000","광진구","계",390685,26305,26214.5,23755.5,29550.5,35162.5,48468.5,41712.5,35436,33826,24611.5,19692,16515,11805,7069.5,4588,3227.5,1680.5,787,218,46.5,13.5
"2000","동대문구","계",373734.5,20807,22170,20448.5,28077,35474.5,44210.5,35718.5,31394.5,30714.5,24296.5,21619,20526,15694,9683.5,5939,3771.5,2041,862,233,44.5,9.5
"2000","중랑구","계",460088.5,29435.5,33621,30174.5,36669.5,39693.5,47889,45335,44442,41398.5,29893,24213,20682,14799.5,8988.5,5704,3819.5,2091,916,257.5,50,16
"2000","성북구","계",466895.5,27217.5,28484,25251.5,34602.5,42300.5,53482,45027,40180,38043.5,30174.5,27458,25979.5,19850,12147,7608,4832,2629.5,1194,359,58,17.5
"2000","강북구","계",352068.5,19859,21527.5,19257.5,27001,33088.5,40443,32911.5,29563,28691.5,22914.5,21684.5,20599,14676.5,8352.5,5014,3369,1932,844,279,52.5,8.5
"2000","도봉구","계",373125.5,24314.5,27395,26922,31070.5,28509,35139.5,35332.5,36126.5,37089,25494,18794.5,15776.5,11967.5,7833,5187,3311,1803,796.5,214,34.5,15.5
"2000","노원구","계",625067,43083,47016,45117,54203.5,47414,55856.5,60535,61024.5,62693.5,42920.5,29810.5,23474,18282,13021,9264.5,6177.5,3288,1378,402.5,84,21.5
"2000","은평구","계",470940.5,29396,31180,28609.5,36562.5,39530.5,50971.5,46236.5,41629.5,40648,30639,26718,23882.5,18335,11069,6884.5,4497,2460,1252.5,354.5,59,25.5
"2000","서대문구","계",366581.5,23506.5,22765.5,19652,25062,31802,44545.5,37614.5,31929,29282.5,21899,20016.5,19600.5,16035.5,9770,6014.5,3783,2051,918,273,53,8
