,Year,Month,Region_Name,Region_Code,Building_Use,Sell_Price,Sell_BA,Sell_Count,JS_Price,JS_BA,JS_Count,CR,IR,UR,LC_index,CA_index,TC_index,SDT_index,Crime_Rates,School_Counts,Subway_Counts,Univ_Counts,Park_Counts
0,2014,1,강남구,11680,단독다가구,231221.43,321.47,14,14987.43,58.01,175,6.48,2.5,3.4,78.9,85.3,82.5,120.5908684,1517.02,77,21,1,7
1,2014,1,강남구,11680,아파트,89505.48,86.55,631,47138.67,87.35,980,52.67,2.5,3.4,78.9,85.3,82.5,120.5908684,1517.02,77,21,1,7
2,2014,1,강남구,11680,연립다세대,34570.7,60.1,76,19115.34,50.14,176,55.29,2.5,3.4,78.9,85.3,82.5,120.5908684,1517.02,77,21,1,7
3,2014,1,강남구,11680,오피스텔,25451.99,40.23,70,31225.0,44.11,20,122.68,2.5,3.4,78.9,85.3,82.5,120.5908684,1517.02,77,21,1,7
4,2014,2,강남구,11680,단독다가구,374166.85,452.19,13,14679.9,55.11,209,3.92,2.5,4.5,79.2,85.6,82.7,121.038496,1517.02,77,21,1,7
5,2014,2,강남구,11680,아파트,91426.67,88.24,609,45972.06,84.51,1059,50.28,2.5,4.5,79.2,85.6,82.7,121.038496,1517.02,77,21,1,7
6,2014,2,강남구,11680,연립다세대,35616.16,53.55,99,19855.46,54.5,229,55.75,2.5,4.5,79.2,85.6,82.7,121.038496,1517.02,77,21,1,7
7,2014,2,강남구,11680,오피스텔,22884.43,36.85,67,23181.82,41.8,33,101.3,2.5,4.5,79.2,85.6,82.7,121.038496,1517.02,77,21,1,7
8,2014,3,강남구,11680,단독다가구,236129.41,406.58,17,14478.47,54.26,209,6.13,2.5,3.9,79.4,85.9,83.0,120.2775291,1517.02,77,21,1,7
9,2014,3,강남구,11680,아파트,93311.94,92.25,480,46109.29,84.44,1039,49.41,2.5,3.9,79.4,85.9,83.0,120.2775291,1517.02,77,21,1,7
10,2014,3,강남구,11680,연립다세대,36753.21,58.4,81,19514.89,50.98,235,53.1,2.5,3.9,79.4,85.9,83.0,120.2775291,1517.02,77,21,1,7
11,2014,3,강남구,11680,오피스텔,22504.07,37.06,108,19632.35,37.05,34,87.24,2.5,3.9,79.4,85.9,83.0,120.2775291,1517.02,77,21,1,7
12,2014,4,강남구,11680,단독다가구,263372.22,378.51,18,14042.82,50.9,201,5.33,2.5,3.8,79.6,86.0,83.4,114.3688451,1517.02,77,21,1,7
13,2014,4,강남구,11680,아파트,88329.69,87.7,334,42811.64,82.28,1000,48.47,2.5,3.8,79.6,86.0,83.4,114.3688451,1517.02,77,21,1,7
14,2014,4,강남구,11680,연립다세대,36655.21,56.29,67,19853.65,54.35,192,54.16,2.5,3.8,79.6,86.0,83.4,114.3688451,1517.02,77,21,1,7
15,2014,4,강남구,11680,오피스텔,35695.42,50.98,50,16293.06,34.05,36,45.64,2.5,3.8,79.6,86.0,83.4,114.3688451,1517.02,77,21,1,7
16,2014,5,강남구,11680,단독다가구,201911.76,338.74,17,15054.12,57.35,170,7.46,2.5,3.5,79.7,85.9,83.6,110.2506714,1517.02,77,21,1,7
17,2014,5,강남구,11680,아파트,82374.02,88.37,388,44118.54,82.9,909,53.56,2.5,3.5,79.7,85.9,83.6,110.2506714,1517.02,77,21,1,7
18,2014,5,강남구,11680,연립다세대,34582.73,54.1,71,18729.63,52.31,162,54.16,2.5,3.5,79.7,85.9,83.6,110.2506714,1517.02,77,21,1,7
19,2014,5,강남구,11680,오피스텔,25183.54,38.97,70,20875.0,39.57,44,82.89,2.5,3.5,79.7,85.9,83.6,110.2506714,1517.02,77,21,1,7
20,2014,6,강남구,11680,단독다가구,453666.67,527.33,6,14522.22,53.42,135,3.2,2.5,3.5,79.9,86.1,83.7,109.8478066,1517.02,77,21,1,7
21,2014,6,강남구,11680,아파트,88837.89,90.31,386,46612.43,84.59,918,52.47,2.5,3.5,79.9,86.1,83.7,109.8478066,1517.02,77,21,1,7
22,2014,6,강남구,11680,연립다세대,24296.11,40.62,90,19638.82,54.81,152,80.83,2.5,3.5,79.9,86.1,83.7,109.8478066,1517.02,77,21,1,7
23,2014,6,강남구,11680,오피스텔,30869.63,42.63,59,17594.64,31.93,56,57.0,2.5,3.5,79.9,86.1,83.7,109.8478066,1517.02,77,21,1,7
24,2014,7,강남구,11680,단독다가구,228489.14,369.01,14,13988.76,52.4,178,6.12,2.5,3.4,80.1,86.3,83.9,111.4592659,1517.02,77,21,1,7
25,2014,7,강남구,11680,아파트,86317.91,86.72,502,45897.76,84.81,948,53.17,2.5,3.4,80.1,86.3,83.9,111.4592659,1517.02,77,21,1,7
26,2014,7,강남구,11680,연립다세대,29674.11,51.18,73,20628.82,56.14,170,69.52,2.5,3.4,80.1,86.3,83.9,111.4592659,1517.02,77,21,1,7
27,2014,7,강남구,11680,오피스텔,23994.0,39.49,62,20301.96,38.37,102,84.61,2.5,3.4,80.1,86.3,83.9,111.4592659,1517.02,77,21,1,7
28,2014,8,강남구,11680,단독다가구,213765.33,338.83,15,14706.75,55.8,163,6.88,2.25,3.3,80.5,86.6,84.2,111.5487914,1517.02,77,21,1,7
29,2014,8,강남구,11680,아파트,90098.03,86.49,692,44812.46,83.87,1000,49.74,2.25,3.3,80.5,86.6,84.2,111.5487914,1517.02,77,21,1,7
30,2014,8,강남구,11680,연립다세대,39563.74,54.27,117,20805.45,54.42,165,52.59,2.25,3.3,80.5,86.6,84.2,111.5487914,1517.02,77,21,1,7
31,2014,8,강남구,11680,오피스텔,29619.6,42.96,89,18378.82,33.2,85,62.05,2.25,3.3,80.5,86.6,84.2,111.5487914,1517.02,77,21,1,7
32,2014,9,강남구,11680,단독다가구,279987.5,361.7,20,14420.43,53.29,186,5.15,2.25,3.1,80.8,86.6,84.5,114.4583706,1517.02,77,21,1,7
33,2014,9,강남구,11680,아파트,92881.29,90.59,706,45461.79,83.97,859,48.95,2.25,3.1,80.8,86.6,84.5,114.4583706,1517.02,77,21,1,7
34,2014,9,강남구,11680,연립다세대,37257.21,55.53,123,23280.0,57.07,160,62.48,2.25,3.1,80.8,86.6,84.5,114.4583706,1517.02,77,21,1,7
35,2014,9,강남구,11680,오피스텔,30691.17,45.58,63,17085.71,31.54,70,55.67,2.25,3.1,80.8,86.6,84.5,114.4583706,1517.02,77,21,1,7
36,2014,10,강남구,11680,단독다가구,235929.74,381.87,19,14193.08,47.73,195,6.02,2.0,3.2,81.1,86.5,84.7,117.0098478,1517.02,77,21,1,7
37,2014,10,강남구,11680,아파트,81380.37,78.5,607,46860.07,84.71,984,57.58,2.0,3.2,81.1,86.5,84.7,117.0098478,1517.02,77,21,1,7
38,2014,10,강남구,11680,연립다세대,43176.86,64.74,105,21836.0,57.28,200,50.57,2.0,3.2,81.1,86.5,84.7,117.0098478,1517.02,77,21,1,7
39,2014,10,강남구,11680,오피스텔,25592.08,39.36,89,18069.23,32.49,91,70.6,2.0,3.2,81.1,86.5,84.7,117.0098478,1517.02,77,21,1,7
40,2014,11,강남구,11680,단독다가구,240765.2,385.58,15,16134.95,58.25,186,6.7,2.0,3.0,81.4,86.6,84.9,115.7564906,1517.02,77,21,1,7
41,2014,11,강남구,11680,아파트,91760.81,88.93,367,50546.74,87.81,908,55.09,2.0,3.0,81.4,86.6,84.9,115.7564906,1517.02,77,21,1,7
42,2014,11,강남구,11680,연립다세대,47045.33,70.8,75,20155.41,53.0,157,42.84,2.0,3.0,81.4,86.6,84.9,115.7564906,1517.02,77,21,1,7
43,2014,11,강남구,11680,오피스텔,28853.95,43.57,78,26198.68,41.6,76,90.8,2.0,3.0,81.4,86.6,84.9,115.7564906,1517.02,77,21,1,7
44,2014,12,강남구,11680,단독다가구,141853.33,306.58,15,14738.56,54.27,153,10.39,2.0,3.3,81.7,87.2,84.9,116.8755595,1517.02,77,21,1,7
45,2014,12,강남구,11680,아파트,84206.85,81.24,492,51903.24,88.43,1092,61.64,2.0,3.3,81.7,87.2,84.9,116.8755595,1517.02,77,21,1,7
46,2014,12,강남구,11680,연립다세대,52062.62,72.4,80,21468.85,53.68,183,41.24,2.0,3.3,81.7,87.2,84.9,116.8755595,1517.02,77,21,1,7
47,2014,12,강남구,11680,오피스텔,30356.25,43.22,61,19655.74,34.09,61,64.75,2.0,3.3,81.7,87.2,84.9,116.8755595,1517.02,77,21,1,7
48,2015,1,강남구,11680,단독다가구,189056.47,388.17,17,15678.97,60.45,214,8.29,2.0,3.7,82.2,87.5,85.1,115.2504472,1481.19,77,21,1,7
49,2015,1,강남구,11680,아파트,88602.24,83.52,624,49307.92,84.42,1129,55.65,2.0,3.7,82.2,87.5,85.1,115.2504472,1481.19,77,21,1,7
50,2015,1,강남구,11680,연립다세대,43184.29,67.75,91,21214.29,53.11,245,49.13,2.0,3.7,82.2,87.5,85.1,115.2504472,1481.19,77,21,1,7
51,2015,1,강남구,11680,오피스텔,29392.95,43.49,99,19441.25,31.3,80,66.14,2.0,3.7,82.2,87.5,85.1,115.2504472,1481.19,77,21,1,7
52,2015,2,강남구,11680,단독다가구,207595.24,323.04,21,14642.86,53.07,126,7.05,2.0,4.5,82.5,88.1,85.4,116.8157424,1481.19,77,21,1,7
53,2015,2,강남구,11680,아파트,85646.95,81.8,641,49389.25,84.3,1017,57.67,2.0,4.5,82.5,88.1,85.4,116.8157424,1481.19,77,21,1,7
54,2015,2,강남구,11680,연립다세대,32668.17,52.44,139,22442.79,52.45,208,68.7,2.0,4.5,82.5,88.1,85.4,116.8157424,1481.19,77,21,1,7
55,2015,2,강남구,11680,오피스텔,35955.39,48.8,85,23737.78,35.29,45,66.02,2.0,4.5,82.5,88.1,85.4,116.8157424,1481.19,77,21,1,7
56,2015,3,강남구,11680,단독다가구,188990.0,317.35,30,15686.54,55.56,208,8.3,1.75,4.0,82.9,88.1,85.7,120.9302326,1481.19,77,21,1,7
57,2015,3,강남구,11680,아파트,92218.49,84.94,924,48855.56,83.29,963,52.98,1.75,4.0,82.9,88.1,85.7,120.9302326,1481.19,77,21,1,7
58,2015,3,강남구,11680,연립다세대,50427.76,66.65,200,22577.12,55.99,257,44.77,1.75,4.0,82.9,88.1,85.7,120.9302326,1481.19,77,21,1,7
59,2015,3,강남구,11680,오피스텔,27744.58,39.85,131,23290.48,32.57,63,83.95,1.75,4.0,82.9,88.1,85.7,120.9302326,1481.19,77,21,1,7
60,2015,4,강남구,11680,단독다가구,227779.32,375.0,31,17508.75,56.23,160,7.69,1.75,3.9,83.3,88.3,85.9,122.2271914,1481.19,77,21,1,7
61,2015,4,강남구,11680,아파트,90805.76,83.46,813,48911.95,82.72,831,53.86,1.75,3.9,83.3,88.3,85.9,122.2271914,1481.19,77,21,1,7
62,2015,4,강남구,11680,연립다세대,41444.01,59.73,172,22288.86,54.57,184,53.78,1.75,3.9,83.3,88.3,85.9,122.2271914,1481.19,77,21,1,7
63,2015,4,강남구,11680,오피스텔,26804.73,40.99,128,24900.0,36.29,55,92.89,1.75,3.9,83.3,88.3,85.9,122.2271914,1481.19,77,21,1,7
64,2015,5,강남구,11680,단독다가구,202136.36,312.78,33,17691.6,57.43,131,8.75,1.75,3.7,83.7,88.0,86.0,120.3488372,1481.19,77,21,1,7
65,2015,5,강남구,11680,아파트,92176.18,82.2,702,48940.76,81.51,722,53.09,1.75,3.7,83.7,88.0,86.0,120.3488372,1481.19,77,21,1,7
66,2015,5,강남구,11680,연립다세대,44124.75,69.41,158,22054.53,55.35,160,49.98,1.75,3.7,83.7,88.0,86.0,120.3488372,1481.19,77,21,1,7
67,2015,5,강남구,11680,오피스텔,30813.43,43.88,100,26965.91,35.56,44,87.51,1.75,3.7,83.7,88.0,86.0,120.3488372,1481.19,77,21,1,7
68,2015,6,강남구,11680,단독다가구,219661.54,407.58,26,16950.34,53.48,145,7.72,1.5,3.8,83.9,88.2,86.2,119.8121646,1481.19,77,21,1,7
69,2015,6,강남구,11680,아파트,95349.65,86.24,627,51345.79,84.63,690,53.85,1.5,3.8,83.9,88.2,86.2,119.8121646,1481.19,77,21,1,7
70,2015,6,강남구,11680,연립다세대,44943.22,60.29,224,20897.08,48.85,171,46.5,1.5,3.8,83.9,88.2,86.2,119.8121646,1481.19,77,21,1,7
71,2015,6,강남구,11680,오피스텔,25999.93,37.55,107,29012.2,42.53,41,111.59,1.5,3.8,83.9,88.2,86.2,119.8121646,1481.19,77,21,1,7
