Year,Month,Region_Name,Region_Code,Building_Use,Sell_Price,Sell_BA,Sell_PPA,Sell_PPP,Sell_Count,JS_Price,JS_BA,JS_PPA,JS_PPP,JS_Count,CR,BA_CR,PPA_CR,IR,UR,LC_index,CA_index,TC_index,SDT_index
2012,7,강남구,11680,단독다가구,316562.5,344.92,943.75,285.48,8,12301.48,67.69,210.54,63.69,135,3.89,19.62,22.31,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,강남구,11680,아파트,82549.28,81.56,1023.0,309.46,133,38076.56,82.5,452.77,136.96,750,46.13,101.15,44.26,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,강남구,11680,연립다세대,28362.79,48.58,565.35,171.02,38,17478.57,53.18,350.26,105.95,140,61.63,109.47,61.95,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,강남구,11680,오피스텔,25309.88,39.07,671.99,203.28,42,39900.0,88.84,422.45,127.79,10,157.65,227.39,62.87,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,강동구,11740,단독다가구,103757.14,336.59,480.88,145.47,21,7899.77,55.33,162.32,49.1,217,7.61,16.44,33.75,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,강동구,11740,아파트,44177.42,75.86,613.75,185.66,116,21442.84,73.34,294.18,88.99,490,48.54,96.68,47.93,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,강동구,11740,연립다세대,21700.65,50.88,442.0,133.71,46,13329.66,49.62,291.4,88.15,145,61.43,97.52,65.93,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,강동구,11740,오피스텔,15573.33,33.27,461.16,139.5,15,13035.71,49.94,291.11,88.06,14,83.71,150.11,63.13,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,강북구,11305,단독다가구,36099.05,117.64,358.4,108.42,21,6475.71,49.95,139.78,42.28,210,17.94,42.46,39.0,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,강북구,11305,아파트,28957.76,70.25,416.53,126.0,58,18593.14,78.4,241.63,73.09,217,64.21,111.6,58.01,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,강북구,11305,연립다세대,15024.55,50.53,300.67,90.95,110,8307.1,49.3,173.17,52.38,169,55.29,97.57,57.59,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,강북구,11305,오피스텔,13150.0,35.57,376.94,114.03,7,8200.0,34.1,246.9,74.69,10,62.36,95.87,65.5,3.0,3.1,74.5,81.5,78.5,102.461258
