년,월,금리
2011.0,1.0,2.75
2011.0,2.0,2.75
2011.0,3.0,3
2011.0,4.0,3
2011.0,5.0,3
2011.0,6.0,3.25
2011.0,7.0,3.25
2011.0,8.0,3.25
2011.0,9.0,3.25
2011.0,10.0,3.25
2011.0,11.0,3.25
2011.0,12.0,3.25
2012.0,1.0,3.25
2012.0,2.0,3.25
2012.0,3.0,3.25
2012.0,4.0,3.25
2012.0,5.0,3.25
2012.0,6.0,3.25
2012.0,7.0,3
2012.0,8.0,3
2012.0,9.0,3
2012.0,10.0,2.75
2012.0,11.0,2.75
2012.0,12.0,2.75
2013.0,1.0,2.75
2013.0,2.0,2.75
2013.0,3.0,2.75
2013.0,4.0,2.75
2013.0,5.0,2.5
2013.0,6.0,2.5
2013.0,7.0,2.5
2013.0,8.0,2.5
2013.0,9.0,2.5
2013.0,10.0,2.5
2013.0,11.0,2.5
2013.0,12.0,2.5
2014.0,1.0,2.5
2014.0,2.0,2.5
2014.0,3.0,2.5
2014.0,4.0,2.5
2014.0,5.0,2.5
2014.0,6.0,2.5
2014.0,7.0,2.5
2014.0,8.0,2.25
2014.0,9.0,2.25
2014.0,10.0,2
2014.0,11.0,2
2014.0,12.0,2
2015.0,1.0,2
2015.0,2.0,2
2015.0,3.0,1.75
2015.0,4.0,1.75
2015.0,5.0,1.75
2015.0,6.0,1.5
2015.0,7.0,1.5
2015.0,8.0,1.5
2015.0,9.0,1.5
2015.0,10.0,1.5
2015.0,11.0,1.5
2015.0,12.0,1.5
2016.0,1.0,1.5
2016.0,2.0,1.5
2016.0,3.0,1.5
2016.0,4.0,1.5
2016.0,5.0,1.5
2016.0,6.0,1.25
2016.0,7.0,1.25
2016.0,8.0,1.25
2016.0,9.0,1.25
2016.0,10.0,1.25
2016.0,11.0,1.25
2016.0,12.0,1.25
2017.0,1.0,1.25
2017.0,2.0,1.25
2017.0,3.0,1.25
2017.0,4.0,1.25
2017.0,5.0,1.25
2017.0,6.0,1.25
2017.0,7.0,1.25
2017.0,8.0,1.25
2017.0,9.0,1.25
2017.0,10.0,1.25
2017.0,11.0,1.5
2017.0,12.0,1.5
2018.0,1.0,1.5
2018.0,2.0,1.5
2018.0,3.0,1.5
2018.0,4.0,1.5
2018.0,5.0,1.5
2018.0,6.0,1.5
2018.0,7.0,1.5
2018.0,8.0,1.5
2018.0,9.0,1.5
2018.0,10.0,1.5
2018.0,11.0,1.75
2018.0,12.0,1.75
2019.0,1.0,1.75
2019.0,2.0,1.75
2019.0,3.0,1.75
2019.0,4.0,1.75
2019.0,5.0,1.75
2019.0,6.0,1.75
2019.0,7.0,1.5
2019.0,8.0,1.5
2019.0,9.0,1.5
2019.0,10.0,1.25
2019.0,11.0,1.25
2019.0,12.0,1.25
2020.0,1.0,1.25
2020.0,2.0,1.25
2020.0,3.0,0.75
2020.0,4.0,0.75
2020.0,5.0,0.5
2020.0,6.0,0.5
2020.0,7.0,0.5
2020.0,8.0,0.5
2020.0,9.0,0.5
2020.0,10.0,0.5
2020.0,11.0,0.5
2020.0,12.0,0.5
2021.0,1.0,0.5
2021.0,2.0,0.5
2021.0,3.0,0.5
2021.0,4.0,0.5
2021.0,5.0,0.5
2021.0,6.0,0.5
2021.0,7.0,0.5
2021.0,8.0,0.75
2021.0,9.0,0.75
2021.0,10.0,0.75
2021.0,11.0,1
2021.0,12.0,1
2022.0,1.0,1.25
2022.0,2.0,1.25
2022.0,3.0,1.25
2022.0,4.0,1.5
2022.0,5.0,1.75
2022.0,6.0,1.75
2022.0,7.0,2.25
2022.0,8.0,2.5
2022.0,9.0,2.5
2022.0,10.0,3
2022.0,11.0,3.25
2022.0,12.0,3.25
2023.0,1.0,3.5
2023.0,2.0,3.5
2023.0,3.0,3.5
2023.0,4.0,3.5
2023.0,5.0,3.5
2023.0,6.0,3.5
2023.0,7.0,3.5
2023.0,8.0,3.5
