년,월,실업률
1999.0,6.0,6.7
1999.0,7.0,6.7
1999.0,8.0,6.2
1999.0,9.0,5.2
1999.0,10.0,5.0
1999.0,11.0,4.8
1999.0,12.0,5.2
2000.0,1.0,5.7
2000.0,2.0,5.7
2000.0,3.0,5.1
2000.0,4.0,4.5
2000.0,5.0,4.1
2000.0,6.0,3.9
2000.0,7.0,4.0
2000.0,8.0,4.1
2000.0,9.0,4.0
2000.0,10.0,3.7
2000.0,11.0,3.9
2000.0,12.0,4.4
2001.0,1.0,5.1
2001.0,2.0,5.5
2001.0,3.0,5.1
2001.0,4.0,4.1
2001.0,5.0,3.7
2001.0,6.0,3.6
2001.0,7.0,3.6
2001.0,8.0,3.6
2001.0,9.0,3.3
2001.0,10.0,3.3
2001.0,11.0,3.4
2001.0,12.0,3.7
2002.0,1.0,4.1
2002.0,2.0,4.1
2002.0,3.0,3.8
2002.0,4.0,3.4
2002.0,5.0,3.1
2002.0,6.0,2.9
2002.0,7.0,3.0
2002.0,8.0,3.2
2002.0,9.0,2.7
2002.0,10.0,2.8
2002.0,11.0,2.9
2002.0,12.0,3.1
2003.0,1.0,3.7
2003.0,2.0,3.8
2003.0,3.0,3.7
2003.0,4.0,3.5
2003.0,5.0,3.4
2003.0,6.0,3.4
2003.0,7.0,3.6
2003.0,8.0,3.5
2003.0,9.0,3.3
2003.0,10.0,3.4
2003.0,11.0,3.5
2003.0,12.0,3.8
2004.0,1.0,4.0
2004.0,2.0,4.1
2004.0,3.0,4.0
2004.0,4.0,3.7
2004.0,5.0,3.5
2004.0,6.0,3.4
2004.0,7.0,3.6
2004.0,8.0,3.6
2004.0,9.0,3.3
2004.0,10.0,3.4
2004.0,11.0,3.5
2004.0,12.0,3.8
2005.0,1.0,4.3
2005.0,2.0,4.3
2005.0,3.0,4.1
2005.0,4.0,3.8
2005.0,5.0,3.6
2005.0,6.0,3.6
2005.0,7.0,3.7
2005.0,8.0,3.6
2005.0,9.0,3.6
2005.0,10.0,3.6
2005.0,11.0,3.3
2005.0,12.0,3.5
2006.0,1.0,3.8
2006.0,2.0,4.1
2006.0,3.0,3.9
2006.0,4.0,3.5
2006.0,5.0,3.2
2006.0,6.0,3.4
2006.0,7.0,3.4
2006.0,8.0,3.4
2006.0,9.0,3.2
2006.0,10.0,3.3
2006.0,11.0,3.2
2006.0,12.0,3.3
2007.0,1.0,3.6
2007.0,2.0,3.7
2007.0,3.0,3.5
2007.0,4.0,3.4
2007.0,5.0,3.2
2007.0,6.0,3.2
2007.0,7.0,3.3
